Publication_PMID,Publication_link,count,DOI_from_pmid
18438401.0,https://www.nature.com/articles/nbt1402,497,10.1038/nbt1402
20080679.0,https://www.pnas.org/doi/full/10.1073/pnas.0910603106,378,10.1073/pnas.0910603106
22902058.0,https://www.sciencedirect.com/science/article/pii/S0142961212008393,112,10.1016/j.biomaterials.2012.07.044
24969323.0,https://www.nature.com/articles/ncomms5277,1273,10.1038/ncomms5277
26729861.0,https://www.pnas.org/doi/10.1073/pnas.1520756113,1538,10.1073/pnas.1520756113
27981708.0,https://onlinelibrary.wiley.com/doi/10.1002/anie.201610209,72,10.1002/anie.201610209
29653760.0,https://doi.org/10.1016/j.ymthe.2018.03.010,10,10.1016/j.ymthe.2018.03.010
29786478.0,https://doi.org/10.1016/j.bioactmat.2024.05.012,24,10.1177/1747493018778713
31570898.0,https://www.nature.com/articles/s41587-019-0247-3,1128,10.1038/s41587-019-0247-3
32080183.0,https://www.nature.com/articles/s41467-020-14527-2,30,10.1038/s41467-020-14527-2
33305471.0,https://onlinelibrary.wiley.com/doi/10.1002/anie.202013927,91,10.1002/anie.202013927
33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,10.1038/s41563-020-00886-0
35879315.0,https://www.nature.com/articles/s41467-022-31993-y,1080,10.1038/s41467-022-31993-y
36269150.0,https://pubs.acs.org/doi/10.1021/acsnano.2c07822,144,10.1021/acsnano.2c07822
36997680.0,https://www.nature.com/articles/s41587-023-01679-x,773,10.1038/s41587-023-01679-x
37127709.0,https://www.nature.com/articles/s41551-023-01030-4,407,10.1038/s41551-023-01030-4
37480759.0,https://doi.org/10.1016/j.biomaterials.2023.122243,260,10.1016/j.biomaterials.2023.122243
37591187.0,https://doi.org/10.1016/j.biomaterials.2023.122279,119,10.1016/j.biomaterials.2023.122279
37661193.0,https://onlinelibrary.wiley.com/doi/10.1002/anie.202310401,325,10.1002/anie.202310401
37853662.0,https://pubs.acs.org/doi/full/10.1021/jacs.3c09143,131,10.1021/jacs.3c09143
37985700.0,https://www.nature.com/articles/s41587-024-02490-y,1902,10.1038/s41565-023-01548-3
37990414.0,https://onlinelibrary.wiley.com/doi/10.1002/adhm.202302691,248,10.1002/adhm.202302691
38060560.0,https://www.pnas.org/doi/10.1073/pnas.2309472120,288,10.1073/pnas.2309472120
38082180.0,https://www.nature.com/articles/s41551-023-01131-0,1080,10.1038/s41551-023-01131-0
38409275.0,https://www.nature.com/articles/s41467-024-45537-z,60,10.1038/s41467-024-45537-z
38424061.0,https://www.nature.com/articles/s41467-024-45422-9,851,10.1038/s41467-024-45422-9
38437545.0,https://www.pnas.org/doi/10.1073/pnas.2307810121,350,10.1073/pnas.2307810121
38740955.0,https://www.nature.com/articles/s41563-024-01867-3,611,10.1038/s41563-024-01867-3
38969646.0,https://www.nature.com/articles/s41467-024-50093-7,140,10.1038/s41467-024-50093-7
39060305.0,https://www.nature.com/articles/s41467-024-50619-z,2400,10.1038/s41467-024-50619-z
39099464.0,https://pubs.rsc.org/en/Content/ArticleLanding/2024/TB/D4TB00960F,286,10.1039/d4tb00960f
39354147.0,https://www.nature.com/articles/s41565-024-01747-6,252,10.1038/s41565-024-01747-6
39424104.0,https://www.sciencedirect.com/science/article/abs/pii/S0168365924007016,180,10.1016/j.jconrel.2024.10.028
39497197.0,https://jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-024-02919-1,623,10.1186/s12951-024-02919-1
39502027.0,https://doi.org/10.1002/adhm.202403366,36,10.1002/adhm.202403366
39578640.0,https://www.nature.com/articles/s41551-024-01267-7,151,10.1038/s41551-024-01267-7
39742515.0,https://pubs.acs.org/doi/10.1021/jacs.4c10265,270,10.1021/jacs.4c10265
39875076.0,https://doi.org/10.1016/j.jconrel.2025.01.071,96,10.1016/j.jconrel.2025.01.071
40060499.0,https://www.biorxiv.org/content/10.1101/2025.02.25.640222v1,500,10.1101/2025.02.25.640222
40131321.0,https://doi.org/10.1039/D5NR00433K,8,10.1039/d5nr00433k
40234552.0,https://www.nature.com/articles/s42004-025-01516-z,91,10.1038/s42004-025-01516-z
40796944.0,https://www.nature.com/articles/s41551-025-01480-y,141,10.1038/s41551-025-01480-y
